School Year,County,Grade,Vaccine Series,Number of Schools,Total Enrollment Count,Total Vaccinated Count,Percentage Vaccinated,Religious- Flu Only Exemption Count,Religious Exemption Count,Percentage Religious Exemption,Medical Exemption Count,Percentage Medical Exemption,Percentage Compliant,Percentage Non-Compliant
2018-2019,Windham,K,Varicella,26,1196,,93.4,,55,4.6,6,0.5,98.5,1.5
2018-2019,Windham,K,HepA,26,1196,,93.3,,55,4.6,6,0.5,98.4,1.6
2018-2019,Windham,K,All,26,1196,,91.8,,55,4.6,6,0.5,96.9,3.1
2018-2019,Windham,7th,Polio,23,1264,,97.9,,23,1.8,1,0.1,99.8,0.2
2018-2019,Windham,7th,DTaP,23,1264,,98.0,,23,1.8,1,0.1,99.9,0.1
2018-2019,Windham,7th,MMR,23,1264,,98.0,,23,1.8,1,0.1,99.9,0.1
2018-2019,Windham,7th,HepB,23,1264,,97.9,,23,1.8,1,0.1,99.8,0.2
2018-2019,Windham,7th,Varicella,23,1264,,97.5,,23,1.8,1,0.1,99.4,0.6
2018-2019,Windham,7th,MCV,23,1264,,95.8,,23,1.8,1,0.1,97.7,2.3
2018-2019,Windham,7th,Tdap,23,1264,,95.8,,23,1.8,1,0.1,97.7,2.3
2018-2019,Windham,7th,All,23,1264,,95.3,,23,1.8,1,0.1,97.2,2.8
2017-2018,Fairfield,Pre-K,Flu,112,5388,,84.0,297,170,3.2,33,0.6,93.3,6.7
2017-2018,Fairfield,K,Polio,204,11279,,96.3,,245,2.2,41,0.4,98.8,1.2
2017-2018,Fairfield,K,DTaP,204,11279,,96.2,,245,2.2,41,0.4,98.7,1.3
2017-2018,Fairfield,K,MMR,204,11279,,96.0,,245,2.2,41,0.4,98.5,1.5
2017-2018,Fairfield,K,HepB,204,11279,,96.7,,245,2.2,41,0.4,99.2,0.8
2017-2018,Fairfield,K,Varicella,204,11279,,95.8,,245,2.2,41,0.4,98.3,1.7
2017-2018,Fairfield,K,HepA,204,11279,,96.0,,245,2.2,41,0.4,98.5,1.5
2017-2018,Fairfield,7th,Polio,134,12585,,98.1,,169,1.3,43,0.3,99.8,0.2
2017-2018,Fairfield,7th,DTaP,134,12585,,97.8,,169,1.3,43,0.3,99.5,0.5
2017-2018,Fairfield,7th,MMR,134,12585,,98.2,,169,1.3,43,0.3,99.9,0.1
2017-2018,Fairfield,7th,HepB,134,12585,,97.9,,169,1.3,43,0.3,99.6,0.4
2017-2018,Fairfield,7th,Varicella,134,12585,,97.8,,169,1.3,43,0.3,99.5,0.5
2017-2018,Fairfield,7th,MCV,134,12585,,95.7,,169,1.3,43,0.3,97.4,2.6
2017-2018,Fairfield,7th,Tdap,134,12585,,96.2,,169,1.3,43,0.3,97.9,2.1
2017-2018,Hartford,Pre-K,Flu,126,6811,,83.9,359,124,1.8,65,1.0,91.9,8.1
2017-2018,Hartford,K,Polio,186,9971,,96.6,,149,1.5,20,0.2,98.3,1.7
2017-2018,Hartford,K,DTaP,186,9971,,96.6,,149,1.5,20,0.2,98.3,1.7
2017-2018,Hartford,K,MMR,186,9971,,96.8,,149,1.5,20,0.2,98.5,1.5
2017-2018,Hartford,K,HepB,186,9971,,97.5,,149,1.5,20,0.2,99.2,0.8
2017-2018,Hartford,K,Varicella,186,9971,,96.5,,149,1.5,20,0.2,98.2,1.8
2017-2018,Hartford,K,HepA,186,9971,,96.9,,149,1.5,20,0.2,98.6,1.4
2017-2018,Hartford,7th,Polio,136,11420,,98.6,,104,0.9,13,0.1,99.6,0.4
2017-2018,Hartford,7th,DTaP,136,11420,,98.5,,104,0.9,13,0.1,99.5,0.5
2017-2018,Hartford,7th,MMR,136,11420,,98.6,,104,0.9,13,0.1,99.6,0.4
2017-2018,Hartford,7th,HepB,136,11420,,98.6,,104,0.9,13,0.1,99.6,0.4
2017-2018,Hartford,7th,Varicella,136,11420,,98.3,,104,0.9,13,0.1,99.3,0.7
2017-2018,Hartford,7th,MCV,136,11420,,94.5,,104,0.9,13,0.1,95.5,4.5
2017-2018,Hartford,7th,Tdap,136,11420,,94.8,,104,0.9,13,0.1,95.8,4.2
2017-2018,Litchfield,Pre-K,Flu,29,897,,83.9,45,29,3.2,7,0.8,92.9,7.1
2017-2018,Litchfield,K,Polio,43,1660,,96.4,,40,2.4,9,0.5,99.4,0.6
2017-2018,Litchfield,K,DTaP,43,1660,,96.5,,40,2.4,9,0.5,99.5,0.5
2017-2018,Litchfield,K,MMR,43,1660,,96.4,,40,2.4,9,0.5,99.4,0.6
2017-2018,Litchfield,K,HepB,43,1660,,96.3,,40,2.4,9,0.5,99.3,0.7
2017-2018,Litchfield,K,Varicella,43,1660,,96.1,,40,2.4,9,0.5,99.1,0.9
2017-2018,Litchfield,K,HepA,43,1660,,95.6,,40,2.4,9,0.5,98.6,1.4
2017-2018,Litchfield,7th,Polio,29,2121,,97.5,,41,1.9,11,0.5,100.0,0.0
2017-2018,Litchfield,7th,DTaP,29,2121,,97.5,,41,1.9,11,0.5,100.0,0.0
2017-2018,Litchfield,7th,MMR,29,2121,,97.5,,41,1.9,11,0.5,100.0,0.0
2017-2018,Litchfield,7th,HepB,29,2121,,97.4,,41,1.9,11,0.5,99.9,0.1
2017-2018,Litchfield,7th,Varicella,29,2121,,97.1,,41,1.9,11,0.5,99.6,0.4
2017-2018,Litchfield,7th,MCV,29,2121,,88.3,,41,1.9,11,0.5,90.8,9.2
2017-2018,Litchfield,7th,Tdap,29,2121,,88.5,,41,1.9,11,0.5,91.0,9.0
2017-2018,Middlesex,Pre-K,Flu,14,564,,92.0,18,15,2.7,2,0.4,98.2,1.8
2017-2018,Middlesex,K,Polio,27,1409,,96.5,,36,2.6,8,0.6,99.6,0.4
2017-2018,Middlesex,K,DTaP,27,1409,,96.5,,36,2.6,8,0.6,99.6,0.4
2017-2018,Middlesex,K,MMR,27,1409,,96.5,,36,2.6,8,0.6,99.6,0.4
2017-2018,Middlesex,K,HepB,27,1409,,96.7,,36,2.6,8,0.6,99.8,0.2
2017-2018,Middlesex,K,Varicella,27,1409,,96.5,,36,2.6,8,0.6,99.6,0.4
2017-2018,Middlesex,K,HepA,27,1409,,96.5,,36,2.6,8,0.6,99.6,0.4
2017-2018,Middlesex,7th,Polio,15,1663,,98.2,,27,1.6,3,0.2,100.0,0.0
2017-2018,Middlesex,7th,DTaP,15,1663,,98.2,,27,1.6,3,0.2,100.0,0.0
2017-2018,Middlesex,7th,MMR,15,1663,,98.1,,27,1.6,3,0.2,99.9,0.1
2017-2018,Middlesex,7th,HepB,15,1663,,98.2,,27,1.6,3,0.2,100.0,0.0
2017-2018,Middlesex,7th,Varicella,15,1663,,98.1,,27,1.6,3,0.2,99.9,0.1
2017-2018,Middlesex,7th,MCV,15,1663,,97.6,,27,1.6,3,0.2,99.4,0.6
2017-2018,Middlesex,7th,Tdap,15,1663,,97.7,,27,1.6,3,0.2,99.5,0.5
2017-2018,New Haven,Pre-K,Flu,119,5589,,90.9,159,96,1.7,35,0.6,96.1,3.9
2017-2018,New Haven,K,Polio,181,9446,,97.2,,134,1.4,21,0.2,98.8,1.2
2017-2018,New Haven,K,DTaP,181,9446,,97.1,,134,1.4,21,0.2,98.7,1.3
2017-2018,New Haven,K,MMR,181,9446,,97.2,,134,1.4,21,0.2,98.8,1.2
2017-2018,New Haven,K,HepB,181,9446,,97.6,,134,1.4,21,0.2,99.2,0.8
2017-2018,New Haven,K,Varicella,181,9446,,97.1,,134,1.4,21,0.2,98.7,1.3
2017-2018,New Haven,K,HepA,181,9446,,97.4,,134,1.4,21,0.2,99.0,1.0
2017-2018,New Haven,7th,Polio,123,10548,,98.7,,82,0.8,35,0.3,99.8,0.2
2017-2018,New Haven,7th,DTaP,123,10548,,98.7,,82,0.8,35,0.3,99.8,0.2
2017-2018,New Haven,7th,MMR,123,10548,,98.7,,82,0.8,35,0.3,99.8,0.2
2017-2018,New Haven,7th,HepB,123,10548,,98.6,,82,0.8,35,0.3,99.7,0.3
2017-2018,New Haven,7th,Varicella,123,10548,,98.5,,82,0.8,35,0.3,99.6,0.4
2017-2018,New Haven,7th,MCV,123,10548,,96.5,,82,0.8,35,0.3,97.6,2.4
2017-2018,New Haven,7th,Tdap,123,10548,,96.6,,82,0.8,35,0.3,97.7,2.3
2017-2018,New London,Pre-K,Flu,39,1987,,87.7,75,31,1.6,8,0.4,93.4,6.6
2017-2018,New London,K,Polio,61,2800,,96.4,,59,2.1,12,0.4,98.9,1.1
2017-2018,New London,K,DTaP,61,2800,,96.4,,59,2.1,12,0.4,98.9,1.1
2017-2018,New London,K,MMR,61,2800,,96.5,,59,2.1,12,0.4,99.0,1.0
2017-2018,New London,K,HepB,61,2800,,96.6,,59,2.1,12,0.4,99.1,0.9
2017-2018,New London,K,Varicella,61,2800,,96.4,,59,2.1,12,0.4,98.9,1.1
2017-2018,New London,K,HepA,61,2800,,96.0,,59,2.1,12,0.4,98.5,1.5
2017-2018,New London,7th,Polio,42,3023,,98.3,,31,1.0,14,0.5,99.8,0.2
2017-2018,New London,7th,DTaP,42,3023,,98.3,,31,1.0,14,0.5,99.8,0.2
2017-2018,New London,7th,MMR,42,3023,,98.4,,31,1.0,14,0.5,99.9,0.1
2017-2018,New London,7th,HepB,42,3023,,98.4,,31,1.0,14,0.5,99.9,0.1
2017-2018,New London,7th,Varicella,42,3023,,98.3,,31,1.0,14,0.5,99.8,0.2
2017-2018,New London,7th,MCV,42,3023,,96.4,,31,1.0,14,0.5,97.9,2.1
2017-2018,New London,7th,Tdap,42,3023,,96.6,,31,1.0,14,0.5,98.1,1.9
2017-2018,State,Pre-K,Flu,484,23109,,86.3,1097,510,2.2,171,0.7,94.0,6.0
2017-2018,State,K,Polio,752,39174,,96.5,,764,2.0,126,0.3,98.8,1.2
2017-2018,State,K,DTaP,752,39174,,96.5,,764,2.0,126,0.3,98.8,1.2
2017-2018,State,K,MMR,752,39174,,96.5,,764,2.0,126,0.3,98.8,1.2
2017-2018,State,K,HepB,752,39174,,97.0,,764,2.0,126,0.3,99.3,0.7
2017-2018,State,K,Varicella,752,39174,,96.3,,764,2.0,126,0.3,98.6,1.4
2017-2018,State,K,HepA,752,39174,,96.5,,764,2.0,126,0.3,98.8,1.2
2017-2018,State,7th,Polio,518,44334,,98.4,,491,1.1,132,0.3,99.8,0.2
2017-2018,State,7th,DTaP,518,44334,,98.3,,491,1.1,132,0.3,99.7,0.3
2017-2018,State,7th,MMR,518,44334,,98.4,,491,1.1,132,0.3,99.8,0.2
2017-2018,State,7th,HepB,518,44334,,98.3,,491,1.1,132,0.3,99.7,0.3
2017-2018,State,7th,Varicella,518,44334,,98.1,,491,1.1,132,0.3,99.5,0.5
2017-2018,State,7th,MCV,518,44334,,95.4,,491,1.1,132,0.3,96.8,3.2
2017-2018,State,7th,Tdap,518,44334,,95.7,,491,1.1,132,0.3,97.1,2.9
2017-2018,Tolland,Pre-K,Flu,24,793,,88.1,49,22,2.8,9,1.1,98.2,1.8
2017-2018,Tolland,K,Polio,24,1288,,96.1,,45,3.5,2,0.2,99.7,0.3
2017-2018,Tolland,K,DTaP,24,1288,,96.2,,45,3.5,2,0.2,99.8,0.2
2017-2018,Tolland,K,MMR,24,1288,,96.0,,45,3.5,2,0.2,99.6,0.4
2017-2018,Tolland,K,HepB,24,1288,,96.2,,45,3.5,2,0.2,99.8,0.2
2017-2018,Tolland,K,Varicella,24,1288,,96.0,,45,3.5,2,0.2,99.6,0.4
2017-2018,Tolland,K,HepA,24,1288,,95.8,,45,3.5,2,0.2,99.4,0.6
2017-2018,Tolland,7th,Polio,15,1514,,98.7,,14,0.9,6,0.4,100.0,0.0
2017-2018,Tolland,7th,DTaP,15,1514,,98.7,,14,0.9,6,0.4,100.0,0.0
2017-2018,Tolland,7th,MMR,15,1514,,98.6,,14,0.9,6,0.4,99.9,0.1
2017-2018,Tolland,7th,HepB,15,1514,,98.6,,14,0.9,6,0.4,99.9,0.1
2017-2018,Tolland,7th,Varicella,15,1514,,98.6,,14,0.9,6,0.4,99.9,0.1
2017-2018,Tolland,7th,MCV,15,1514,,96.7,,14,0.9,6,0.4,98.0,2.0
2017-2018,Tolland,7th,Tdap,15,1514,,96.9,,14,0.9,6,0.4,98.2,1.8
2017-2018,Windham,Pre-K,Flu,21,1080,,83.9,95,23,2.1,12,1.1,95.9,4.1
2017-2018,Windham,K,Polio,26,1321,,93.8,,56,4.2,13,1.0,99.0,1.0
2017-2018,Windham,K,DTaP,26,1321,,93.8,,56,4.2,13,1.0,99.0,1.0
2017-2018,Windham,K,MMR,26,1321,,93.6,,56,4.2,13,1.0,98.8,1.2
2017-2018,Windham,K,HepB,26,1321,,94.2,,56,4.2,13,1.0,99.4,0.6
2017-2018,Windham,K,Varicella,26,1321,,93.3,,56,4.2,13,1.0,98.5,1.5
2017-2018,Windham,K,HepA,26,1321,,93.5,,56,4.2,13,1.0,98.7,1.3
2017-2018,Windham,7th,Polio,24,1460,,97.6,,23,1.6,7,0.5,99.7,0.3
2017-2018,Windham,7th,DTaP,24,1460,,97.9,,23,1.6,7,0.5,100.0,0.0
2017-2018,Windham,7th,MMR,24,1460,,97.8,,23,1.6,7,0.5,99.9,0.1
2017-2018,Windham,7th,HepB,24,1460,,97.5,,23,1.6,7,0.5,99.6,0.4
2017-2018,Windham,7th,Varicella,24,1460,,96.6,,23,1.6,7,0.5,98.7,1.3
2017-2018,Windham,7th,MCV,24,1460,,96.2,,23,1.6,7,0.5,98.3,1.7
2017-2018,Windham,7th,Tdap,24,1460,,96.5,,23,1.6,7,0.5,98.6,1.4
2016-2017,Fairfield,Pre-K,Flu,86,3776,,83.8,180,107,2.8,23,0.6,92.0,8.0
2016-2017,Fairfield,K,Polio,201,11118,,96.6,,230,2.1,38,0.3,99.0,1.0
2016-2017,Fairfield,K,DTaP,201,11118,,96.6,,230,2.1,38,0.3,99.0,1.0
2016-2017,Fairfield,K,MMR,201,11118,,96.6,,230,2.1,38,0.3,99.0,1.0
2016-2017,Fairfield,K,HepB,201,11118,,96.9,,230,2.1,38,0.3,99.3,0.7
2016-2017,Fairfield,K,Varicella,201,11118,,96.4,,230,2.1,38,0.3,98.8,1.2
2016-2017,Fairfield,K,HepA,201,11118,,96.5,,230,2.1,38,0.3,98.9,1.1
2016-2017,Fairfield,7th,Polio,124,12217,,98.6,,125,1.0,37,0.3,99.9,0.1
2016-2017,Fairfield,7th,DTaP,124,12217,,98.4,,125,1.0,37,0.3,99.7,0.3
2016-2017,Fairfield,7th,MMR,124,12217,,98.5,,125,1.0,37,0.3,99.8,0.2
2016-2017,Fairfield,7th,HepB,124,12217,,98.5,,125,1.0,37,0.3,99.8,0.2
2016-2017,Fairfield,7th,Varicella,124,12217,,98.2,,125,1.0,37,0.3,99.5,0.5
2016-2017,Fairfield,7th,MCV,124,12217,,96.5,,125,1.0,37,0.3,97.8,2.2
2016-2017,Fairfield,7th,Tdap,124,12217,,96.7,,125,1.0,37,0.3,98.0,2.0
2016-2017,Hartford,Pre-K,Flu,123,6438,,83.9,271,91,1.4,30,0.5,90.0,10.0
2016-2017,Hartford,K,Polio,181,10042,,96.5,,139,1.4,26,0.3,98.1,1.9
2016-2017,Hartford,K,DTaP,181,10042,,96.4,,139,1.4,26,0.3,98.0,2.0
2016-2017,Hartford,K,MMR,181,10042,,96.6,,139,1.4,26,0.3,98.2,1.8
2016-2017,Hartford,K,HepB,181,10042,,97.3,,139,1.4,26,0.3,98.9,1.1
2016-2017,Hartford,K,Varicella,181,10042,,96.1,,139,1.4,26,0.3,97.7,2.3
2016-2017,Hartford,K,HepA,181,10042,,96.6,,139,1.4,26,0.3,98.2,1.8
2016-2017,Hartford,7th,Polio,124,11056,,98.6,,91,0.8,22,0.2,99.6,0.4
2016-2017,Hartford,7th,DTaP,124,11056,,98.6,,91,0.8,22,0.2,99.6,0.4
2016-2017,Hartford,7th,MMR,124,11056,,98.7,,91,0.8,22,0.2,99.7,0.3
2016-2017,Hartford,7th,HepB,124,11056,,98.2,,91,0.8,22,0.2,99.2,0.8
2016-2017,Hartford,7th,Varicella,124,11056,,98.2,,91,0.8,22,0.2,99.2,0.8
2016-2017,Hartford,7th,MCV,124,11056,,94.4,,91,0.8,22,0.2,95.4,4.6
2016-2017,Hartford,7th,Tdap,124,11056,,94.8,,91,0.8,22,0.2,95.8,4.2
2016-2017,Litchfield,Pre-K,Flu,25,791,,89.4,23,22,2.8,5,0.6,95.7,4.3
2016-2017,Litchfield,K,Polio,43,1656,,96.8,,34,2.1,1,0.1,98.9,1.1
2016-2017,Litchfield,K,DTaP,43,1656,,96.7,,34,2.1,1,0.1,98.8,1.2
2016-2017,Litchfield,K,MMR,43,1656,,96.9,,34,2.1,1,0.1,99.0,1.0
2016-2017,Litchfield,K,HepB,43,1656,,97.3,,34,2.1,1,0.1,99.4,0.6
2016-2017,Litchfield,K,Varicella,43,1656,,96.5,,34,2.1,1,0.1,98.6,1.4
2016-2017,Litchfield,K,HepA,43,1656,,96.6,,34,2.1,1,0.1,98.7,1.3
2016-2017,Litchfield,7th,Polio,27,1992,,98.0,,27,1.4,8,0.4,99.8,0.2
2016-2017,Litchfield,7th,DTaP,27,1992,,98.0,,27,1.4,8,0.4,99.8,0.2
2016-2017,Litchfield,7th,MMR,27,1992,,99.8,,27,1.4,8,0.4,101.6,-1.6
2016-2017,Litchfield,7th,HepB,27,1992,,99.8,,27,1.4,8,0.4,101.6,-1.6
2016-2017,Litchfield,7th,Varicella,27,1992,,98.9,,27,1.4,8,0.4,100.7,-0.7
2016-2017,Litchfield,7th,MCV,27,1992,,91.9,,27,1.4,8,0.4,93.7,6.3
2016-2017,Litchfield,7th,Tdap,27,1992,,91.9,,27,1.4,8,0.4,93.7,6.3
2016-2017,Middlesex,Pre-K,Flu,14,553,,89.0,20,8,1.4,10,1.8,95.9,4.1
2016-2017,Middlesex,K,Polio,27,1439,,97.5,,32,2.2,4,0.3,100.0,0.0
2016-2017,Middlesex,K,DTaP,27,1439,,97.4,,32,2.2,4,0.3,99.9,0.1
2016-2017,Middlesex,K,MMR,27,1439,,97.1,,32,2.2,4,0.3,99.6,0.4
2016-2017,Middlesex,K,HepB,27,1439,,96.9,,32,2.2,4,0.3,99.4,0.6
2016-2017,Middlesex,K,Varicella,27,1439,,97.0,,32,2.2,4,0.3,99.5,0.5
2016-2017,Middlesex,K,HepA,27,1439,,97.1,,32,2.2,4,0.3,99.6,0.4
2016-2017,Middlesex,7th,Polio,15,1651,,99.0,,13,0.8,4,0.2,100.0,0.0
2016-2017,Middlesex,7th,DTaP,15,1651,,98.8,,13,0.8,4,0.2,99.8,0.2
2016-2017,Middlesex,7th,MMR,15,1651,,97.9,,13,0.8,4,0.2,98.9,1.1
2016-2017,Middlesex,7th,HepB,15,1651,,99.0,,13,0.8,4,0.2,100.0,0.0
2016-2017,Middlesex,7th,Varicella,15,1651,,98.8,,13,0.8,4,0.2,99.8,0.2
2016-2017,Middlesex,7th,MCV,15,1651,,97.6,,13,0.8,4,0.2,98.6,1.4
2016-2017,Middlesex,7th,Tdap,15,1651,,97.9,,13,0.8,4,0.2,98.9,1.1
2016-2017,New Haven,Pre-K,Flu,115,5222,,91.2,110,59,1.1,32,0.6,95.0,5.0
2016-2017,New Haven,K,Polio,176,9592,,97.6,,123,1.3,18,0.2,99.1,0.9
2016-2017,New Haven,K,DTaP,176,9592,,97.5,,123,1.3,18,0.2,99.0,1.0
2016-2017,New Haven,K,MMR,176,9592,,97.5,,123,1.3,18,0.2,99.0,1.0
2016-2017,New Haven,K,HepB,176,9592,,97.8,,123,1.3,18,0.2,99.3,0.7
2016-2017,New Haven,K,Varicella,176,9592,,97.4,,123,1.3,18,0.2,98.9,1.1
2016-2017,New Haven,K,HepA,176,9592,,97.5,,123,1.3,18,0.2,99.0,1.0
2016-2017,New Haven,7th,Polio,120,10587,,99.0,,74,0.7,22,0.2,99.9,0.1
2016-2017,New Haven,7th,DTaP,120,10587,,99.0,,74,0.7,22,0.2,99.9,0.1
2016-2017,New Haven,7th,MMR,120,10587,,99.0,,74,0.7,22,0.2,99.9,0.1
2016-2017,New Haven,7th,HepB,120,10587,,98.9,,74,0.7,22,0.2,99.8,0.2
2016-2017,New Haven,7th,Varicella,120,10587,,98.8,,74,0.7,22,0.2,99.7,0.3
2016-2017,New Haven,7th,MCV,120,10587,,97.5,,74,0.7,22,0.2,98.4,1.6
2016-2017,New Haven,7th,Tdap,120,10587,,97.7,,74,0.7,22,0.2,98.6,1.4
2016-2017,New London,Pre-K,Flu,37,1889,,89.5,48,22,1.2,17,0.9,94.1,5.9
2016-2017,New London,K,Polio,61,2820,,96.6,,67,2.4,5,0.2,99.2,0.8
2016-2017,New London,K,DTaP,61,2820,,96.5,,67,2.4,5,0.2,99.1,0.9
2016-2017,New London,K,MMR,61,2820,,96.3,,67,2.4,5,0.2,98.9,1.1
2016-2017,New London,K,HepB,61,2820,,96.6,,67,2.4,5,0.2,99.2,0.8
2016-2017,New London,K,Varicella,61,2820,,96.2,,67,2.4,5,0.2,98.8,1.2
2016-2017,New London,K,HepA,61,2820,,96.3,,67,2.4,5,0.2,98.9,1.1
2016-2017,New London,7th,Polio,40,3022,,98.7,,27,0.9,9,0.3,99.9,0.1
2016-2017,New London,7th,DTaP,40,3022,,98.7,,27,0.9,9,0.3,99.9,0.1
2016-2017,New London,7th,MMR,40,3022,,98.6,,27,0.9,9,0.3,99.8,0.2
2016-2017,New London,7th,HepB,40,3022,,98.2,,27,0.9,9,0.3,99.4,0.6
2016-2017,New London,7th,Varicella,40,3022,,98.0,,27,0.9,9,0.3,99.2,0.8
2016-2017,New London,7th,MCV,40,3022,,95.0,,27,0.9,9,0.3,96.2,3.8
2016-2017,New London,7th,Tdap,40,3022,,95.5,,27,0.9,9,0.3,96.7,3.3
2016-2017,State,Pre-K,Flu,440,20325,,87.0,726,342,1.7,136,0.7,92.9,7.1
2016-2017,State,K,Polio,739,39002,,96.8,,701,1.8,107,0.3,98.9,1.1
2016-2017,State,K,DTaP,739,39002,,96.7,,701,1.8,107,0.3,98.8,1.2
2016-2017,State,K,MMR,739,39002,,96.7,,701,1.8,107,0.3,98.8,1.2
2016-2017,State,K,HepB,739,39002,,97.1,,701,1.8,107,0.3,99.2,0.8
2016-2017,State,K,Varicella,739,39002,,96.5,,701,1.8,107,0.3,98.6,1.4
2016-2017,State,K,HepA,739,39002,,96.7,,701,1.8,107,0.3,98.8,1.2
2016-2017,State,7th,Polio,487,43337,,98.6,,399,0.9,110,0.3,99.8,0.2
2016-2017,State,7th,DTaP,487,43337,,98.6,,399,0.9,110,0.3,99.8,0.2
2016-2017,State,7th,MMR,487,43337,,98.6,,399,0.9,110,0.3,99.8,0.2
2016-2017,State,7th,HepB,487,43337,,98.5,,399,0.9,110,0.3,99.7,0.3
2016-2017,State,7th,Varicella,487,43337,,98.3,,399,0.9,110,0.3,99.5,0.5
2016-2017,State,7th,MCV,487,43337,,95.9,,399,0.9,110,0.3,97.1,2.9
2016-2017,State,7th,Tdap,487,43337,,96.2,,399,0.9,110,0.3,97.4,2.6
2016-2017,Tolland,Pre-K,Flu,23,746,,90.2,34,22,2.9,7,0.9,98.6,1.4
2016-2017,Tolland,K,Polio,25,1195,,94.8,,48,4.0,5,0.4,99.2,0.8
2016-2017,Tolland,K,DTaP,25,1195,,94.8,,48,4.0,5,0.4,99.2,0.8
2016-2017,Tolland,K,MMR,25,1195,,95.1,,48,4.0,5,0.4,99.5,0.5
2016-2017,Tolland,K,HepB,25,1195,,94.9,,48,4.0,5,0.4,99.3,0.7
2016-2017,Tolland,K,Varicella,25,1195,,95.1,,48,4.0,5,0.4,99.5,0.5
2016-2017,Tolland,K,HepA,25,1195,,95.0,,48,4.0,5,0.4,99.4,0.6
2016-2017,Tolland,7th,Polio,15,1552,,97.8,,28,1.8,5,0.3,99.9,0.1
2016-2017,Tolland,7th,DTaP,15,1552,,97.7,,28,1.8,5,0.3,99.8,0.2
2016-2017,Tolland,7th,MMR,15,1552,,97.7,,28,1.8,5,0.3,99.8,0.2
2016-2017,Tolland,7th,HepB,15,1552,,97.7,,28,1.8,5,0.3,99.8,0.2
2016-2017,Tolland,7th,Varicella,15,1552,,97.7,,28,1.8,5,0.3,99.8,0.2
2016-2017,Tolland,7th,MCV,15,1552,,97.4,,28,1.8,5,0.3,99.5,0.5
2016-2017,Tolland,7th,Tdap,15,1552,,97.4,,28,1.8,5,0.3,99.5,0.5
2016-2017,Windham,Pre-K,Flu,17,910,,87.1,40,11,1.2,12,1.3,94.0,6.0
2016-2017,Windham,K,Polio,25,1140,,95.7,,28,2.5,10,0.9,99.0,1.0
2016-2017,Windham,K,DTaP,25,1140,,95.8,,28,2.5,10,0.9,99.1,0.9
2016-2017,Windham,K,MMR,25,1140,,95.5,,28,2.5,10,0.9,98.8,1.2
2016-2017,Windham,K,HepB,25,1140,,96.5,,28,2.5,10,0.9,99.8,0.2
2016-2017,Windham,K,Varicella,25,1140,,95.8,,28,2.5,10,0.9,99.1,0.9
2016-2017,Windham,K,HepA,25,1140,,96.1,,28,2.5,10,0.9,99.4,0.6
2016-2017,Windham,7th,Polio,22,1260,,98.5,,14,1.1,3,0.2,99.8,0.2
2016-2017,Windham,7th,DTaP,22,1260,,98.7,,14,1.1,3,0.2,100.0,0.0
2016-2017,Windham,7th,MMR,22,1260,,98.6,,14,1.1,3,0.2,99.9,0.1
2016-2017,Windham,7th,HepB,22,1260,,98.6,,14,1.1,3,0.2,99.9,0.1
2016-2017,Windham,7th,Varicella,22,1260,,98.0,,14,1.1,3,0.2,99.3,0.7
2016-2017,Windham,7th,MCV,22,1260,,98.0,,14,1.1,3,0.2,99.3,0.7
2016-2017,Windham,7th,Tdap,22,1260,,97.7,,14,1.1,3,0.2,99.0,1.0
2015-2016,Fairfield,Pre-K,Flu,93,4379,,85.7,172,136,3.1,34,0.8,93.5,6.5
2015-2016,Fairfield,K,Polio,201,11490,,96.7,,243,2.1,41,0.4,99.2,0.8
2015-2016,Fairfield,K,DTaP,201,11490,,96.6,,243,2.1,41,0.4,99.1,0.9
2015-2016,Fairfield,K,MMR,201,11490,,96.4,,243,2.1,41,0.4,98.9,1.1
2015-2016,Fairfield,K,HepB,201,11490,,97.0,,243,2.1,41,0.4,99.5,0.5
2015-2016,Fairfield,K,Varicella,201,11490,,95.8,,243,2.1,41,0.4,98.3,1.7
2015-2016,Fairfield,K,HepA,201,11490,,96.6,,243,2.1,41,0.4,99.1,0.9
2015-2016,Fairfield,7th,Polio,125,12957,,98.6,,141,1.1,21,0.2,99.9,0.1
2015-2016,Fairfield,7th,DTaP,125,12957,,98.6,,141,1.1,21,0.2,99.9,0.1
2015-2016,Fairfield,7th,MMR,125,12957,,98.5,,141,1.1,21,0.2,99.8,0.2
2015-2016,Fairfield,7th,HepB,125,12957,,98.6,,141,1.1,21,0.2,99.9,0.1
2015-2016,Fairfield,7th,Varicella,125,12957,,98.3,,141,1.1,21,0.2,99.6,0.4
2015-2016,Fairfield,7th,MCV,125,12957,,96.5,,141,1.1,21,0.2,97.8,2.2
2015-2016,Fairfield,7th,Tdap,125,12957,,96.7,,141,1.1,21,0.2,98.0,2.0
2015-2016,Hartford,Pre-K,Flu,130,6755,,85.4,285,102,1.5,37,0.5,91.7,8.3
2015-2016,Hartford,K,Polio,189,10271,,96.7,,159,1.5,22,0.2,98.5,1.5
2015-2016,Hartford,K,DTaP,189,10271,,96.7,,159,1.5,22,0.2,98.5,1.5
2015-2016,Hartford,K,MMR,189,10271,,96.7,,159,1.5,22,0.2,98.5,1.5
2015-2016,Hartford,K,HepB,189,10271,,97.4,,159,1.5,22,0.2,99.2,0.8
2015-2016,Hartford,K,Varicella,189,10271,,96.4,,159,1.5,22,0.2,98.2,1.8
