School Year,County,Grade,Vaccine Series,Number of Schools,Total Enrollment Count,Total Vaccinated Count,Percentage Vaccinated,Religious- Flu Only Exemption Count,Religious Exemption Count,Percentage Religious Exemption,Medical Exemption Count,Percentage Medical Exemption,Percentage Compliant,Percentage Non-Compliant
2021-2022,Windham,K,DTaP,25,1214,1127,92.8,,52,4.3,4,0.3,97.4,2.6
2021-2022,Windham,K,MMR,25,1214,1126,92.8,,52,4.3,4,0.3,97.4,2.6
2021-2022,Windham,K,HepB,25,1214,1148,94.6,,52,4.3,4,0.3,99.2,0.8
2021-2022,Windham,K,Varicella,25,1214,1123,92.5,,52,4.3,4,0.3,97.1,2.9
2021-2022,Windham,K,HepA,25,1214,1141,94.0,,52,4.3,4,0.3,98.6,1.4
2021-2022,Windham,K,All,25,1214,1106,91.1,,52,4.3,4,0.3,95.7,4.3
2021-2022,Windham,7th,Polio,21,1127,1090,96.7,,18,1.6,3,0.3,98.6,1.4
2021-2022,Windham,7th,DTaP,21,1127,1100,97.6,,18,1.6,3,0.3,99.5,0.5
2021-2022,Windham,7th,MMR,21,1127,1096,97.2,,18,1.6,3,0.3,99.1,0.9
2021-2022,Windham,7th,HepB,21,1127,1098,97.4,,18,1.6,3,0.3,99.3,0.7
2021-2022,Windham,7th,Varicella,21,1127,1095,97.2,,18,1.6,3,0.3,99.0,1.0
2021-2022,Windham,7th,HepA,21,1127,1087,96.5,,18,1.6,3,0.3,98.3,1.7
2021-2022,Windham,7th,MCV,21,1127,1023,90.8,,18,1.6,3,0.3,92.6,7.4
2021-2022,Windham,7th,Tdap,21,1127,1024,90.9,,18,1.6,3,0.3,92.7,7.3
2021-2022,Windham,7th,All,21,1127,945,83.9,,18,1.6,3,0.3,85.7,14.3
2020-2021,Fairfield,Pre-K,Flu,102,4525,3777,83.5,158,150,3.3,11,0.2,90.5,9.5
2020-2021,Fairfield,K,Polio,197,10206,9827,96.3,,252,2.5,22,0.2,99.0,1.0
2020-2021,Fairfield,K,DTaP,197,10206,9820,96.2,,252,2.5,22,0.2,98.9,1.1
2020-2021,Fairfield,K,MMR,197,10206,9805,96.1,,252,2.5,22,0.2,98.8,1.2
2020-2021,Fairfield,K,HepB,197,10206,9875,96.8,,252,2.5,22,0.2,99.4,0.6
2020-2021,Fairfield,K,Varicella,197,10206,9783,95.9,,252,2.5,22,0.2,98.5,1.5
2020-2021,Fairfield,K,HepA,197,10206,9850,96.5,,252,2.5,22,0.2,99.2,0.8
2020-2021,Fairfield,K,All,197,10206,9700,95.0,,252,2.5,22,0.2,97.7,2.3
2020-2021,Fairfield,7th,Polio,135,12654,12292,97.1,,223,1.8,65,0.5,99.4,0.6
